label,maximum,mean,median,minimum,sigma,sum,variance,bbox_0,bbox_1,bbox_2,bbox_3,bbox_4,bbox_5,centroid_0,centroid_1,centroid_2,elongation,feret_diameter,flatness,roundness,equivalent_ellipsoid_diameter_0,equivalent_ellipsoid_diameter_1,equivalent_ellipsoid_diameter_2,equivalent_spherical_perimeter,equivalent_spherical_radius,number_of_pixels,number_of_pixels_on_border,perimeter,perimeter_on_border,perimeter_on_border_ratio,principal_axes0,principal_axes1,principal_axes2,principal_axes3,principal_axes4,principal_axes5,principal_axes6,principal_axes7,principal_axes8,principal_moments0,principal_moments1,principal_moments2,age,image_id,genotype
1,250.0,189.79310344827587,184.14453125,157.0,20.305487137268393,5504.0,412.31280788177224,3,372,6,3,3,5,3.8620689655172415,372.9310344827586,8.10344827586207,1.9141181549635196,4.58257569495584,1.1228423570996426,0.9544937486086251,2.8418273278037414,3.1909240952213316,6.107805741773693,45.647408114599536,1.9059132510127017,29,0,47.82368473459382,0.0,0.0,0.7495675117350609,-0.6619245771321478,0.002097507982471416,-0.6587500648593557,-0.7462753156991574,-0.09550657163733114,0.0647834654761819,0.0702068897370445,-0.995426589575718,0.41098259420004546,0.5181565633099783,1.8984470494002248,8,0,cpfl
2,334.0,207.2736842105263,202.87109375,133.0,42.70667945795774,19691.0,1823.8604703247497,18,373,0,3,6,8,18.873684210526317,375.4736842105263,2.6,1.2253415538109236,8.12403840463596,1.990648892108574,0.9054271291239697,3.3431779682845444,6.655093518687422,8.154762632945452,100.68540655058968,2.8305988897884706,95,15,111.20210927190362,15.0,0.1348895277096143,0.9991222357406613,-0.027533459092265424,-0.03157002817542253,-0.03624157474914438,-0.9461024148186675,-0.32183344906020417,-0.021007291788438794,0.3226951026971114,-0.9462698158490603,0.5700545100109338,2.2589453225365554,3.3917203890475056,8,0,cpfl
3,182.0,176.0,177.90234375,154.0,12.30853362509117,880.0,151.5,50,356,9,1,2,3,50.0,356.4,9.8,1.7320508074957814,2.23606797749979,0.0,1.1256816271660233,0.0,0.0,0.0,14.140479202201725,1.0607844179470551,5,0,12.561703825442457,0.0,0.0,1.0,5.684341885576395e-14,1.1368683772057557e-13,8.987733679184708e-14,-0.9486832980455953,-0.3162277660315937,8.987733679477352e-14,0.31622776603159336,-0.9486832980455943,-6.462348535511384e-27,0.2000000000176017,0.6000000000021628,8,0,cpfl
4,262.0,214.9047619047619,215.35546875,175.0,27.285352777460535,4513.0,744.4904761904734,58,342,3,3,3,5,58.714285714285715,343.3809523809524,4.857142857142857,2.0563123204590896,4.242640687119285,1.1093887369489475,0.9600668069590127,2.511817200018304,2.7865817109749482,5.730082304243756,36.80981665695788,1.711499967172251,21,0,38.340890852743925,0.0,0.0,-0.2875514768076527,0.9539260949880519,0.08566885949156117,-0.9544607213849817,-0.2928345099011947,0.05703228159724575,0.07949138015532521,-0.06536784463154623,0.9946899845525884,0.31902245490540515,0.39263477115041273,1.6602248600904472,8,0,cpfl
5,311.0,195.17142857142858,190.38671875,118.0,36.9972063446813,6831.0,1368.7932773109264,58,349,9,4,3,6,59.457142857142856,350.0285714285714,11.17142857142857,1.9013503589548206,5.196152422706632,1.217517644648728,0.9575333138194874,2.873109960543268,3.4980620719774396,6.651041576200548,51.74433628707787,2.029207591289981,35,0,54.03920212517288,0.0,0.0,0.9765510855051661,0.21525861386108824,-0.0034214846608892884,0.21524478358291244,-0.9765519328086756,-0.004000708435404194,-0.004202444410934144,0.003170439440018272,-0.9999861437913683,0.4103891183516246,0.6083399874457892,2.199230077897161,8,0,cpfl
6,355.0,219.35416666666666,215.35546875,147.0,47.33575018539404,21058.0,2240.6732456140317,64,349,3,5,6,6,65.90625,350.8958333333333,5.75,1.1130572233743001,6.4031242374328485,1.2783611881501953,0.9620674965168752,4.653888652640335,5.949350627508009,6.621967690334215,101.3907369845435,2.840496169229977,96,0,105.38838215782613,0.0,0.0,0.970962113626935,-0.2268704791031678,0.07591020756534435,0.22678352561555182,0.9738950965035904,0.009877930736853674,-0.07616958980127655,0.007624087995361244,0.9970657284611397,1.124914876965344,1.8383441346029135,2.2775178981601334,8,0,cpfl
7,236.0,199.86666666666667,190.38671875,173.0,22.620681645238594,2998.0,511.69523809523423,66,334,5,2,3,4,66.6,334.73333333333335,6.2,1.4053572468133788,3.3166247903554,1.477885486692051,1.0487815824236242,2.1054330868891853,3.1115890023147705,4.3728941535078745,29.413382038701716,1.5299158709729348,15,0,28.045288486789097,0.0,0.0,0.947480309643434,-0.3138982478122289,-0.06122869309723161,-0.2757564323329215,-0.8988132429836535,0.3407244403682063,-0.1619859650247559,-0.3059454922982541,-0.9381673107060273,0.20390904919590166,0.4453670346115363,0.879612805069589,8,0,cpfl
8,313.0,201.8181818181818,190.38671875,151.0,42.90647863774085,6660.0,1840.9659090909117,66,340,3,3,3,6,66.96969696969697,340.969696969697,6.181818181818182,1.5652320468167673,5.0990195135927845,1.0585283294605317,1.005210987272468,3.299974154140977,3.4931161286457795,5.467537307808896,49.75385671019088,1.989795496189589,33,0,49.495934027932414,0.0,0.0,0.7060852495307067,0.706085249757309,-0.05373304821354383,-0.7071067812996586,0.7071067810734364,9.293960382262557e-12,0.03799500276610509,0.03799500276513607,0.9985553362381488,0.5408926557910396,0.6060606060523241,1.4848190062719562,8,0,cpfl
9,324.0,201.83116883116884,196.62890625,127.0,45.70972561415265,15541.0,2089.3790157211233,75,340,5,5,5,7,77.18181818181819,342.0,7.883116883116883,1.483446592323722,6.6332495807108,1.3549110792806047,0.9504507194454529,3.77977718981104,5.121261991687088,7.597118649965206,87.52751689022831,2.639170037117654,77,0,92.09053673113831,0.0,0.0,0.5530384362717994,0.8276339284217314,0.09576308543095335,0.8041795575495811,-0.5002172160534084,-0.32105758982328936,-0.217815810320106,0.2545679031005118,-0.9422056333336205,0.7204105490107938,1.3225181829039596,2.910351753835388,8,0,cpfl
10,278.0,185.9064748201439,184.14453125,135.0,30.833092537954567,25841.0,950.6795954540696,99,336,6,10,5,8,102.90647482014388,338.158273381295,9.338129496402878,1.5124988535566237,10.04987562112089,1.916629414743178,0.8037859014437538,3.6286766929308025,6.954828486264175,10.519170112157513,129.76592235843145,3.2134784881980667,139,0,161.44339198454082,0.0,0.0,0.24033025916556033,0.9643500941297775,0.11077121684491767,0.11214342893141754,0.08576785575114401,-0.9899837000008407,-0.9641914840304882,0.2503453032747768,-0.08753291524530171,0.7104578415630406,2.6098443690301454,5.97041773142521,8,0,cpfl
