label,maximum,mean,median,minimum,sigma,sum,variance,bbox_3,bbox_4,bbox_5,elongation,feret_diameter,flatness,equivalent_ellipsoid_diameter_0,equivalent_ellipsoid_diameter_1,equivalent_ellipsoid_diameter_2,equivalent_spherical_perimeter,equivalent_spherical_radius,volume,surface_area,bbox_volume,convex_volume,sphericity,solidity,perimeter_2d,major_axis_length_2d,minor_axis_length_2d,age,image_id,genotype
1,250.0,189.79310344827587,184.14453125,157.0,20.3054871372684,5504.0,412.3128078817722,3,3,5,1.91411815496352,4.58257569495584,1.1228423570996426,2.8418273278037414,3.190924095221332,6.107805741773693,45.647408114599536,1.9059132510127017,29.0,37.20698547363281,45,32,1.22685048341119,0.90625,9.155271918543056,3.0237157840738176,2.799416848895061,8,0,cpfl
2,334.0,207.2736842105263,202.87109375,133.0,42.70667945795774,19691.0,1823.8604703247497,3,6,8,1.2253415538109236,8.12403840463596,1.990648892108574,3.3431779682845444,6.655093518687422,8.154762632945452,100.68540655058968,2.83059888978847,95.0,68.01277160644531,144,106,1.4803896999405344,0.8962264150943396,15.39898897962397,6.585670706008097,3.179608499510328,8,0,cpfl
4,262.0,214.9047619047619,215.35546875,175.0,27.28535277746053,4513.0,744.4904761904734,3,3,5,2.0563123204590896,4.242640687119285,1.1093887369489477,2.511817200018304,2.786581710974948,5.730082304243756,36.80981665695788,1.711499967172251,21.0,49.595890045166016,45,28,0.7421949000902273,0.75,9.155271918543056,3.0237157840738176,2.799416848895061,8,0,cpfl
5,311.0,195.17142857142852,190.38671875,118.0,36.9972063446813,6831.0,1368.7932773109264,4,3,6,1.9013503589548209,5.196152422706632,1.217517644648728,2.873109960543268,3.49806207197744,6.651041576200548,51.74433628707787,2.029207591289981,35.0,70.72914123535156,72,41,0.7315843990654193,0.8536585365853658,10.4960304492103,3.885753375057407,2.7954428906961324,8,0,cpfl
6,355.0,219.35416666666663,215.35546875,147.0,47.33575018539404,21058.0,2240.673245614032,5,6,6,1.1130572233743,6.4031242374328485,1.2783611881501953,4.653888652640335,5.949350627508009,6.621967690334215,101.3907369845435,2.840496169229977,96.0,105.64698791503906,180,112,0.9597125198314368,0.8571428571428571,16.969785306418867,5.913662763232407,4.6893543233502815,8,0,cpfl
7,236.0,199.86666666666667,190.38671875,173.0,22.620681645238594,2998.0,511.69523809523423,2,3,4,1.4053572468133788,3.3166247903554,1.477885486692051,2.1054330868891853,3.1115890023147705,4.3728941535078745,29.41338203870172,1.5299158709729348,15.0,26.25760078430176,24,15,1.1201854381260397,1.0,7.814513387875811,3.098386676965933,1.7888543819998317,8,0,cpfl
8,313.0,201.8181818181818,190.38671875,151.0,42.90647863774085,6660.0,1840.965909090912,3,3,6,1.5652320468167673,5.0990195135927845,1.0585283294605317,3.299974154140977,3.4931161286457795,5.467537307808896,49.75385671019088,1.989795496189589,33.0,43.93354034423828,54,37,1.1324800214220825,0.8918918918918919,10.265992653082646,3.265986323710904,3.265986323710904,8,0,cpfl
9,324.0,201.83116883116884,196.62890625,127.0,45.70972561415265,15541.0,2089.379015721124,5,5,7,1.483446592323722,6.6332495807108,1.3549110792806047,3.77977718981104,5.121261991687088,7.597118649965206,87.52751689022831,2.639170037117654,77.0,123.21053314208984,175,87,0.7103898884139161,0.8850574712643678,14.518306041212032,5.487954724560283,3.880570000581328,8,0,cpfl
10,278.0,185.9064748201439,184.14453125,135.0,30.833092537954567,25841.0,950.6795954540696,10,5,8,1.5124988535566235,10.04987562112089,1.916629414743178,3.6286766929308025,6.954828486264175,10.519170112157513,129.76592235843145,3.2134784881980667,139.0,218.94647216796875,400,188,0.5926833215146722,0.7393617021276596,24.554260898167023,10.991253833415312,3.881667060611098,8,0,cpfl
11,208.0,172.08,171.66015625,126.0,21.36180391883292,4302.0,456.3266666666653,2,4,5,1.7181010515382886,4.58257569495584,1.632624456553106,2.1846072082792296,3.566643156198875,6.127853357127129,41.34701201406795,1.8139158392989043,25.0,39.15709686279297,40,30,1.0559263920649808,0.8333333333333334,9.710632285812853,4.155374705678736,1.9054711331003733,8,0,cpfl
